epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.5751,1.12972,2.15065,1.56599,0.77219,0.7691,0.78562,0.48591,1.25602,1.72099,1.84059,0.000368962,0.000368962,0.000368962
2,163.291,1.13552,1.45134,1.54721,0.83929,0.6528,0.75298,0.43079,1.46437,1.4341,2.08562,0.000731163,0.000731163,0.000731163
3,241.49,1.15804,1.30246,1.56229,0.77185,0.76565,0.80668,0.47255,1.38534,1.36982,2.00905,0.00108522,0.00108522,0.00108522
4,319.11,1.13591,1.15403,1.53852,0.83262,0.82238,0.85562,0.54559,1.31453,1.05713,1.90371,0.00107434,0.00107434,0.00107434
5,397.062,1.11538,1.08734,1.52702,0.86818,0.84838,0.88183,0.57445,1.2866,1.01344,1.80517,0.00106212,0.00106212,0.00106212
6,474.727,1.0853,1.02804,1.50852,0.9075,0.86492,0.89585,0.59205,1.20749,0.85765,1.76822,0.00104989,0.00104989,0.00104989
7,553.37,1.06557,0.98165,1.48927,0.86912,0.87212,0.8912,0.60051,1.15893,0.86176,1.70094,0.00103767,0.00103767,0.00103767
8,632.215,1.05515,0.94238,1.47193,0.8896,0.88858,0.90805,0.61587,1.14129,0.81938,1.68114,0.00102545,0.00102545,0.00102545
9,710.714,1.03124,0.93192,1.46064,0.90899,0.86368,0.92025,0.63403,1.11446,0.77897,1.65289,0.00101323,0.00101323,0.00101323
10,789.341,1.02094,0.90338,1.44987,0.86892,0.84707,0.89883,0.62469,1.13903,0.82336,1.67314,0.00100101,0.00100101,0.00100101
11,867.731,1.01024,0.87531,1.44067,0.67777,0.5874,0.64886,0.42274,1.3139,1.73596,1.87621,0.00098879,0.00098879,0.00098879
12,945.851,0.99184,0.84487,1.42328,0.91856,0.90793,0.92398,0.64038,1.09628,0.72513,1.59818,0.000976569,0.000976569,0.000976569
13,1024.07,0.9854,0.84361,1.42073,0.92511,0.91422,0.92637,0.64434,1.0739,0.68272,1.5896,0.000964348,0.000964348,0.000964348
14,1102.56,0.98417,0.83369,1.42013,0.9006,0.87827,0.90303,0.61939,1.11258,0.74733,1.67259,0.000952127,0.000952127,0.000952127
15,1180.59,0.98482,0.81555,1.42653,0.92929,0.91749,0.93,0.66025,1.08844,0.67953,1.58204,0.000939906,0.000939906,0.000939906
16,1258.97,0.97767,0.8117,1.4167,0.9197,0.90359,0.92517,0.66944,1.05675,0.67971,1.5676,0.000927685,0.000927685,0.000927685
17,1337.22,0.96543,0.78884,1.40567,0.91051,0.90607,0.91702,0.65142,1.09092,0.70971,1.5993,0.000915464,0.000915464,0.000915464
18,1415.73,0.96214,0.78373,1.40238,0.93674,0.90203,0.92641,0.66733,1.05464,0.68256,1.55388,0.000903243,0.000903243,0.000903243
